,Name,Category,Colour Scheme,Font ,Gender in Photos,Gender in Photos Ratio (M:F),Language (M or F First),Overall Prediction,Notes,URL,Date
1,gill,A141 Sportswear & Athleticwear,male,not female,male,4:01,M,M,,https://www.gillmarine.com/us/,18-Nov-19
3,reebok,A141 Sportswear & Athleticwear,slight male,slight female,slight female,4:05,F,F,female-focused advertisements,https://www.reebok.com/us,18-Nov-19
5,vans,A141 Sportswear & Athleticwear,neutral,not female,neutral,1:01,M,M,"most pictures not fullbody, only counted those + not in gallery (if inlcuded, 8:8)",https://www.vans.com/shop.html,18-Nov-19
6,roka,A141 Sportswear & Athleticwear,neutral,male,neutral,4:01,M,M,heavily tailored towards active people,https://www.roka.com/,18-Nov-19
7,lululemon,A141 Sportswear & Athleticwear,neutral,neutral,female,3:06,F,F,#NAME?,https://shop.lululemon.com/,18-Nov-19
8,quiksilver,A141 Sportswear & Athleticwear,neutral,not female,male,9:01,M,M,,https://www.quiksilver.com/?geopopup=false,18-Nov-19
12,chubbies,A141 Sportswear & Athleticwear,,,,12:00,M,M,,https://www.chubbiesshorts.com/,7-Jan-20
13,sandro,A141 Sportswear & Athleticwear,,,,2:01,F,F,"supplementary search showed for women, weighed language more heavily",https://us.sandro-paris.com/,7-Jan-20
14,lee,A141 Sportswear & Athleticwear,,,,4:05,F,F,,https://www.lee.com/,7-Jan-20
15,wrangler,A141 Sportswear & Athleticwear,,,,4:04,M,M,"Rotating photo gallery, only used static images",https://www.wrangler.com/,7-Jan-20
16,gabba,A141 Sportswear & Athleticwear,,,,11:00,M,M,No mention of females,https://www.gabba-denim.com/,7-Jan-20
17,blair,A141 Sportswear & Athleticwear,,,,3:07,F,F,,https://www.blair.com/#,7-Jan-20
18,zoot,A141 Sportswear & Athleticwear,,,,2:01,M,M,,https://zootsports.com/,7-Jan-20
19,dainese,A141 Sportswear & Athleticwear,,,,2:01,M,M,"Only clear pictures were noted, rest were in clothing. Male/female found from hovering over shop",https://www.dainese.com/us/en/home/,7-Jan-20
20,kerusso,A141 Sportswear & Athleticwear,,,,4:05,F,F,ignored instagram,https://www.kerusso.com/,7-Jan-20
21,puma,A141 Sportswear & Athleticwear,,,,1:00,F,F,weighed language more heavily,https://ca.puma.com/en_CA/home?locale=en_CA&mktID=PL:Brand%20Marketing:Puma.com-CatchAllPage:Canada-en&plinkID=Brand,7-Jan-20
22,filson,A141 Sportswear & Athleticwear,,,,2:02,M,M,,https://www.filson.com/,7-Jan-20
23,assos,A141 Sportswear & Athleticwear,,,,3:01,M,M,,https://www.assos.com/,7-Jan-20
24,garneau,A141 Sportswear & Athleticwear,,,,4:03,M,M,,https://garneau.com/us_en/,7-Jan-20
25,izod,A141 Sportswear & Athleticwear,,,,9:03,M,M,,https://izod.partnerbrands.com/en,7-Jan-20
26,dockers,A141 Sportswear & Athleticwear,,,,6:00,M,M,,https://www.dockers.com/US/en_US/,7-Jan-20
27,isadore,A141 Sportswear & Athleticwear,,,,1:01,M,M,,https://isadore.com/,7-Jan-20
28,speedo,A141 Sportswear & Athleticwear,,,,3:12,F,F,,https://www.speedo.com/,7-Jan-20
29,boathouse,A141 Sportswear & Athleticwear,,,,12:23,M,F,,https://boathousestores.com/,7-Jan-20
30,patagonia,A141 Sportswear & Athleticwear,,,,2:01,M,M,"used rotating images (only 4), and used shop for male v female",https://www.patagonia.ca/home/,7-Jan-20
31,billabong,A141 Sportswear & Athleticwear,,,,1:01,M,M,,https://www.billabong.com/en-ca,7-Jan-20
32,columbia,A141 Sportswear & Athleticwear,,,,3:06,M,F,,https://www.columbiasportswear.ca/,7-Jan-20
33,fila,A141 Sportswear & Athleticwear,,,,4:04,M,M,,https://www.fila.com/us,7-Jan-20
34,bonobos,A141 Sportswear & Athleticwear,,,,7:00,M,M,brand for males,https://bonobos.com/,7-Jan-20
35,athleta,A141 Sportswear & Athleticwear,,,,0:06,F,F,brand for females,https://athleta.gap.com/,7-Jan-20
36,valentino,A141 Sportswear & Athleticwear,,,,1:04,F,F,,https://www.valentino.com/en-us,7-Jan-20
37,lacoste,A141 Sportswear & Athleticwear,,,,5:01,M,M,,https://www.lacoste.com/ca/en/,7-Jan-20
38,dolfin,A141 Sportswear & Athleticwear,,,,3:04,F,F,,https://www.dolfinswimwear.com/,7-Jan-20
39,converse,A141 Sportswear & Athleticwear,,,,1:01,F,F,,https://www.converse.ca/,7-Jan-20
40,versace,A141 Sportswear & Athleticwear,,,,3:05,F,F,,https://www.versace.com/,7-Jan-20
41,nautica,A141 Sportswear & Athleticwear,,,,2:02,M,M,,https://www.nautica.com/,7-Jan-20
42,asics,A141 Sportswear & Athleticwear,,,,3:03,M,M,,https://www.asics.com/us/en-us/,7-Jan-20
43,prada,A141 Sportswear & Athleticwear,,,,1:02,F,F,,https://www.prada.com/ca/en.html,7-Jan-20
44,dkny,A141 Sportswear & Athleticwear,,,,1:03,F,F,,https://www.donnakaran.com/category/dkny.do,7-Jan-20
45,venus,A141 Sportswear & Athleticwear,,,,0:06,F,F,brand for females,https://www.venus.com/,7-Jan-20
46,roxy,A141 Sportswear & Athleticwear,,,,0:09,F,F,brand for females,https://www.roxy.com/en-ca,7-Jan-20
64,nike,A141 Sportswear & Athleticwear,,,,2:04,M,M,,https://www.nike.com/us,9-Jan-20
66,levis,A141 Sportswear & Athleticwear,,,,7:06,M,M,admittedly some gender ambiguous people,https://www.levi.com/US/en_US/,9-Jan-20
